-- Found ament_cmake: 1.3.10 (/opt/ros/humble/share/ament_cmake/cmake)
-- Override CMake install command with custom implementation using symlinks instead of copying resources
-- Found rclcpp: 16.0.10 (/opt/ros/humble/share/rclcpp/cmake)
-- Found rosidl_generator_c: 3.1.5 (/opt/ros/humble/share/rosidl_generator_c/cmake)
-- Found rosidl_adapter: 3.1.5 (/opt/ros/humble/share/rosidl_adapter/cmake)
-- Found rosidl_generator_cpp: 3.1.5 (/opt/ros/humble/share/rosidl_generator_cpp/cmake)
-- Using all available rosidl_typesupport_c: rosidl_typesupport_fastrtps_c;rosidl_typesupport_introspection_c
-- Using all available rosidl_typesupport_cpp: rosidl_typesupport_fastrtps_cpp;rosidl_typesupport_introspection_cpp
-- Found rmw_implementation_cmake: 6.1.2 (/opt/ros/humble/share/rmw_implementation_cmake/cmake)
-- Found rmw_fastrtps_cpp: 6.2.7 (/opt/ros/humble/share/rmw_fastrtps_cpp/cmake)
-- Using RMW implementation 'rmw_fastrtps_cpp' as default
-- Found trajectory_msgs: 4.2.4 (/opt/ros/humble/share/trajectory_msgs/cmake)
-- Configuring done
-- Generating done
-- Build files have been written to: /home/parsa/ros2_urdf_ws/build/my_robot_bringup
-- Install configuration: ""
-- Execute custom install script
-- Up-to-date symlink: /home/parsa/ros2_urdf_ws/install/my_robot_bringup/share/my_robot_bringup//launch/my_robot_gazebo.launch.xml
-- Up-to-date symlink: /home/parsa/ros2_urdf_ws/install/my_robot_bringup/share/my_robot_bringup//rviz/urdf.rviz
-- Up-to-date symlink: /home/parsa/ros2_urdf_ws/install/my_robot_bringup/share/my_robot_bringup//config/joint_controller.yaml
-- Up-to-date symlink: /home/parsa/ros2_urdf_ws/install/my_robot_bringup/share/ament_index/resource_index/package_run_dependencies/my_robot_bringup
-- Up-to-date symlink: /home/parsa/ros2_urdf_ws/install/my_robot_bringup/share/ament_index/resource_index/parent_prefix_path/my_robot_bringup
-- Up-to-date symlink: /home/parsa/ros2_urdf_ws/install/my_robot_bringup/share/my_robot_bringup/environment/ament_prefix_path.sh
-- Up-to-date symlink: /home/parsa/ros2_urdf_ws/install/my_robot_bringup/share/my_robot_bringup/environment/ament_prefix_path.dsv
-- Up-to-date symlink: /home/parsa/ros2_urdf_ws/install/my_robot_bringup/share/my_robot_bringup/environment/path.sh
-- Up-to-date symlink: /home/parsa/ros2_urdf_ws/install/my_robot_bringup/share/my_robot_bringup/environment/path.dsv
-- Up-to-date symlink: /home/parsa/ros2_urdf_ws/install/my_robot_bringup/share/my_robot_bringup/local_setup.bash
-- Up-to-date symlink: /home/parsa/ros2_urdf_ws/install/my_robot_bringup/share/my_robot_bringup/local_setup.sh
-- Up-to-date symlink: /home/parsa/ros2_urdf_ws/install/my_robot_bringup/share/my_robot_bringup/local_setup.zsh
-- Up-to-date symlink: /home/parsa/ros2_urdf_ws/install/my_robot_bringup/share/my_robot_bringup/local_setup.dsv
-- Symlinking: /home/parsa/ros2_urdf_ws/install/my_robot_bringup/share/my_robot_bringup/package.dsv
-- Up-to-date symlink: /home/parsa/ros2_urdf_ws/install/my_robot_bringup/share/ament_index/resource_index/packages/my_robot_bringup
-- Up-to-date symlink: /home/parsa/ros2_urdf_ws/install/my_robot_bringup/share/my_robot_bringup/cmake/my_robot_bringupConfig.cmake
-- Up-to-date symlink: /home/parsa/ros2_urdf_ws/install/my_robot_bringup/share/my_robot_bringup/cmake/my_robot_bringupConfig-version.cmake
-- Up-to-date symlink: /home/parsa/ros2_urdf_ws/install/my_robot_bringup/share/my_robot_bringup/package.xml
